学科代码,学科名称,学科类型,备注,调剂-调剂专业,调剂-一志愿专业
0101,哲学,学硕,,1,1
0201,理论经济学,学硕,,,1
0202,应用经济学,学硕,,,
0251,金融,专硕,,,2
0252,应用统计,专硕,,,
0253,税务,专硕,,,
0254,国际商务,专硕,,,
0255,保险,专硕,,,
0256,资产评估,专硕,,,
0257,审计,专硕,,,
0301,法学,学硕,,,
0302,政治学,学硕,,,
0303,社会学,学硕,,,
0304,民族学,学硕,,,
0305,马克思主义理论,学硕,,,
0306,公安学,学硕,,,
0351,法律,专硕,,,
0352,社会工作,专硕,,,
0353,警务,专硕,,,
0401,教育学,学硕,,,
0402,心理学,学硕,（可授教育学、理学学位）,,
0403,体育学,学硕,,,
0451,*教育,专硕,,,
0452,体育,专硕,,,
0453,汉语国际教育,专硕,,,
0454,应用心理,专硕,,,
0501,中国语言文学,学硕,,,
0502,外国语言文学,学硕,,,
0503,新闻传播学,学硕,,,
0551,翻译,专硕,,,
0552,新闻与传播,专硕,,,
0553,出版,专硕,,,
0601,考古学,学硕,,,
0602,中国史,学硕,,,
0603,世界史,学硕,,,
0651,文物与博物馆,专硕,,,
0701,数学,学硕,,,
0702,物理学,学硕,,,
0703,化学,学硕,,,
0704,天文学,学硕,,,
0705,地理学,学硕,,,
0706,大气科学,学硕,,,
0707,海洋科学,学硕,,,
0708,地球物理学,学硕,,,
0709,地质学,学硕,,,
0710,生物学,学硕,,,
0711,系统科学,学硕,,,
0712,科学技术史,学硕,"（分学科,可授理学、工学、农学、医学学位）",,
0713,生态学,学硕,,,
0714,统计学,学硕,（可授理学、经济学学位）,,
0801,力学,学硕,（可授工学、理学学位）,,
0802,机械工程,学硕,,,
0803,光学工程,学硕,,,
0804,仪器科学与技术,学硕,,,
0805,材料科学与工程,学硕,（可授工学、理学学位）,,
0806,冶金工程,学硕,,,
0807,动力工程及工程热物理,学硕,,,
0808,电气工程,学硕,,,
0809,电子科学与技术,学硕,（可授工学、理学学位）,,
0810,信息与通信工程,学硕,,,
0811,控制科学与工程,学硕,,,
0812,计算机科学与技术,学硕,（可授工学、理学学位）,,
0813,建筑学,学硕,,,
0814,土木工程,学硕,,,
0815,水利工程,学硕,,,
0816,测绘科学与技术,学硕,,,
0817,化学工程与技术,学硕,,,
0818,地质资源与地质工程,学硕,,,
0819,矿业工程,学硕,,,
0820,石油与天然气工程,学硕,,,
0821,纺织科学与工程,学硕,,,
0822,轻工技术与工程,学硕,,,
0823,交通运输工程,学硕,,,
0824,船舶与海洋工程,学硕,,,
0825,航空宇航科学与技术,学硕,,,
0826,兵器科学与技术,学硕,,,
0827,核科学与技术,学硕,,,
0828,农业工程,学硕,,,
0829,林业工程,学硕,,,
0830,环境科学与工程,学硕,（可授工学、理学、农学学位）,,
0831,生物医学工程,学硕,（可授工学、理学、医学学位）,,
0832,食品科学与工程,学硕,（可授工学、农学学位）,,
0833,城乡规划学,学硕,,,
0834,风景园林学,学硕,（可授工学、农学学位）,,
0835,软件工程,学硕,,,
0836,生物工程,学硕,,,
0837,安全科学与工程,学硕,,,
0838,公安技术,学硕,,,
0839,网络空间安全,学硕,,,
0851,建筑学,专硕,,,
0853,城市规划,专硕,,,
0854,*电子信息,专硕,,,
0855,*机械,专硕,,,
0856,*材料与化工,专硕,,,
0857,*资源与环境,专硕,,,
0858,*能源动力,专硕,,,
0859,*土木水利,专硕,,,
0860,*生物与医药,专硕,,,
0861,*交通运输,专硕,,,
0901,作物学,学硕,,,
0902,园艺学,学硕,,,
0903,农业资源与环境,学硕,,,
0904,植物保护,学硕,,,
0905,畜牧学,学硕,,,
0906,兽医学,学硕,,,
0907,林学,学硕,,,
0908,水产,学硕,,,
0909,草学,学硕,,,
0951,农业,专硕,,,
0952,*兽医,专硕,,,
0953,风景园林,专硕,,,
0954,林业,专硕,,,
1001,基础医学,学硕,（可授医学、理学学位）,,
1002,临床医学,学硕,,,
1003,口腔医学,学硕,,,
1004,公共卫生与预防医学,学硕,（可授医学、理学学位）,,
1005,中医学,学硕,,,
1006,中西医结合,学硕,,,
1007,药学,学硕,（可授医学、理学学位）,,
1008,中药学,学硕,（可授医学、理学学位）,,
1009,特种医学,学硕,,,
1010,医学技术,学硕,（可授医学、理学学位）,,
1011,护理学,学硕,（可授医学、理学学位）,,
1051,*临床医学,专硕,,,
1052,*口腔医学,专硕,,,
1053,公共卫生,专硕,,,
1054,护理,专硕,,,
1055,药学,专硕,,,
1056,中药学,专硕,,,
1057,*中医,专硕,,,
1101,军事思想及军事历史,学硕,,,
1102,战略学,学硕,,,
1103,战役学,学硕,,,
1104,战术学,学硕,,,
1105,军队指挥学,学硕,,,
1106,军事管理学,学硕,,,
1107,军队政治工作学,学硕,,,
1108,军事后勤学,学硕,,,
1109,军事装备学,学硕,,,
1110,军事训练学,学硕,,,
1151,军事,专硕,,,
1201,管理科学与工程,学硕,（可授管理学、工学学位）,,
1202,工商管理,学硕,,,
1203,农林经济管理,学硕,,,
1204,公共管理,学硕,,,
1205,图书情报与档案管理,学硕,,,
1251,工商管理,专硕,,,
1252,公共管理,专硕,,,
1253,会计,专硕,,,
1254,旅游管理,专硕,,,
1255,图书情报,专硕,,,
1256,工程管理,专硕,,,
1301,艺术学理论,学硕,,,
1302,音乐与舞蹈学,学硕,,,
1303,戏剧与影视学,学硕,,,
1304,美术学,学硕,,,
1305,设计学,学硕,（可授艺术学、工学学位）,,
1351,艺术,专硕,,,
