院校名称,所在地,院校隶属,自划线,院校代码,区,级别,经费级别,211,985,双一流,调剂-院校
北京大学,北京,教育部,1,10001,A,985 211 双一流,985 211 双一流,211,985,1,1
中国人民大学,北京,教育部,1,10002,A,985 211 双一流,985 211 双一流,211,985,1,
清华大学,北京,教育部,1,10003,A,985 211 双一流,985 211 双一流,211,985,1,
北京航空航天大学,北京,工业与信息化部,1,10006,A,985 211 双一流,985 211 双一流,211,985,1,
北京理工大学,北京,工业与信息化部,1,10007,A,985 211 双一流,985 211 双一流,211,985,1,
中国农业大学,北京,教育部,1,10019,A,985 211 双一流,985 211 双一流,211,985,1,
北京师范大学,北京,教育部,1,10027,A,985 211 双一流,985 211 双一流,211,985,1,
中央民族大学,北京,国家民族事务委员会,0,10052,A,985 211 双一流,985 211 双一流,211,985,1,
南开大学,天津,教育部,1,10055,A,985 211 双一流,985 211 双一流,211,985,1,
天津大学,天津,教育部,1,10056,A,985 211 双一流,985 211 双一流,211,985,1,
大连理工大学,辽宁,教育部,1,10141,A,985 211 双一流,985 211 双一流,211,985,1,
东北大学,辽宁,教育部,1,10145,A,985 211 双一流,985 211 双一流,211,985,1,
吉林大学,吉林,教育部,1,10183,A,985 211 双一流,985 211 双一流,211,985,1,
哈尔滨工业大学,黑龙江,工业与信息化部,1,10213,A,985 211 双一流,985 211 双一流,211,985,1,
复旦大学,上海,教育部,1,10246,A,985 211 双一流,985 211 双一流,211,985,1,
同济大学,上海,教育部,1,10247,A,985 211 双一流,985 211 双一流,211,985,1,
上海交通大学,上海,教育部,1,10248,A,985 211 双一流,985 211 双一流,211,985,1,
华东师范大学,上海,教育部,0,10269,A,985 211 双一流,985 211 双一流,211,985,1,
南京大学,江苏,教育部,1,10284,A,985 211 双一流,985 211 双一流,211,985,1,
东南大学,江苏,教育部,1,10286,A,985 211 双一流,985 211 双一流,211,985,1,
浙江大学,浙江,教育部,1,10335,A,985 211 双一流,985 211 双一流,211,985,1,
中国科学技术大学,安徽,中国科学院,1,10358,A,985 211 双一流,985 211 双一流,211,985,1,
厦门大学,福建,教育部,1,10384,A,985 211 双一流,985 211 双一流,211,985,1,
山东大学,山东,教育部,1,10422,A,985 211 双一流,985 211 双一流,211,985,1,
中国海洋大学,山东,教育部,0,10423,A,985 211 双一流,985 211 双一流,211,985,1,
武汉大学,湖北,教育部,1,10486,A,985 211 双一流,985 211 双一流,211,985,1,
华中科技大学,湖北,教育部,1,10487,A,985 211 双一流,985 211 双一流,211,985,1,
湖南大学,湖南,教育部,1,10532,A,985 211 双一流,985 211 双一流,211,985,1,
中南大学,湖南,教育部,1,10533,A,985 211 双一流,985 211 双一流,211,985,1,
